Aachen:5.88 50.60 6.58 50.99
Aarhus:9.816 55.993 10.373 56.287
Adelaide:138.458 -35.033 138.74 -34.753
Albuquerque:-106.7967 34.9993 -106.4726 35.2173
Alexandria:29.7 31.02 30.21 31.34
Amsterdam:4.535 52.205 5.211 52.525
Antwerpen:4.171 51.00 4.668 51.388
Arnhem:5.58 51.789 6.152 52.067
Auckland:174.45 -37.15 175.05 -36.66
Augsburg:10.62 48.12 11.16 48.60
Austin:-97.99 30.10 -97.54 30.71
Baghdad:44.2231 33.2043 44.5259 33.4238
Baku:49.471 40.185 50.396 40.684
Balaton:17.081 46.588 18.32 47.207
Bamberg:10.53 49.745 11.20 50.19
Bangkok:100.35 13.48 100.80 14.05
Barcelona:1.802 41.23 2.479 41.618
Basel:7.25 47.24 8.09 47.83
Beijing:116.08 39.68 116.77 40.18
Beirut:35.4354 33.7935 35.6187 33.9238
Berkeley:-122.395 37.698 -121.999 38.063
Berlin:12.76 52.23 13.98 52.82
Bern:7.172 46.729 7.768 47.169
Bielefeld:8.31 51.867 8.99 52.33
Birmingham:-2.2 52.376 -1.696 52.63
Bochum:7.00 51.34 7.41 51.67
Bogota:-74.2155 4.5199 -74.0078 4.7711
Bombay:72.746 18.837 73.155 19.355
Bonn:6.80 50.47 7.36 50.90
Bordeaux:-0.834 44.679 -0.315 45.012
Boulder:-105.383 39.89 -105.04 40.145
BrandenburgHavel:11.70 52.26 12.785 53.10
Braunschweig:10.07 51.75 11.20 52.69
Bremen:8.43 52.88 9.29 53.35
Bremerhaven:9.38 53.25 7.97 53.90
Brisbane:152.72 -27.73 153.33 -27.17
Bristol:-2.926 51.336 -2.269 51.592
Brno:16.358 49.06 16.837 49.363
Bruegge:3.029 51.102 3.434 51.368
Bruessel:4.15 50.65 4.62 51.00
Budapest:18.757 47.325 19.414 47.655
BuenosAires:-58.85 -34.85 -58.12 -34.40
Cairo:31.1298 29.9285 31.4141 30.1479
Calgary:-114.314 50.857 -113.764 51.217
Cambridge:-0.036 52.119 0.324 52.284
CambridgeMa:-71.30 42.180 -70.82 42.59
Canberra:148.977 -35.419 149.27 -35.156
CapeTown:18.278 -34.116 18.754 -33.785
Chemnitz:12.56 50.36 13.43 51.07
Chicago:-88.006 41.643 -87.398 42.093
ClermontFerrand:2.879 45.64 3.36 45.923
Colmar:7.2362 47.9964 7.54 48.1579
Copenhagen:12.25 55.55 12.70 55.85
Cork:-8.67 51.672 -8.123 51.984
Corsica:8.474 41.166 9.592 43.032
Corvallis:-123.412 44.475 -123.033 44.676
Cottbus:13.65 51.35 15.10 52.00
Cracow:19.756 49.963 20.156 50.136
