shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
12448,34.168905,-118.375298,0,0
12448,34.16891,-118.375726,1,39.538841381091665
12448,34.168911,-118.375854,2,51.36289253780353
12448,34.168911,-118.375941,3,59.39919646002708
12448,34.168907,-118.37602099999998,4,66.80225846653666
12448,34.168878,-118.37606700000003,5,72.13525703973666
12448,34.168831,-118.376084,6,77.58930195337267
12448,34.16879,-118.376075,7,82.22084113140433
12448,34.168742,-118.37605100000002,8,87.99740293082421
12448,34.168711,-118.37599999999998,9,93.83359877365675
12448,34.168705,-118.375879,10,105.03042480675876
12448,34.168715,-118.374659,11,217.72923857552115
12448,34.16868615005909,-118.37431491534426,12,249.67420489783487
12448,34.168138,-118.37426399999998,13,310.77133939174917
12448,34.16812098430306,-118.37346409325409,14,384.6847950181157
12448,34.168165,-118.370519,15,656.7743919217953
12448,34.16817163088577,-118.37033909325407,16,673.4091774693579
12448,34.1683893846998,-118.370282682209,17,698.1628959656833
12448,34.168655,-118.37025599999998,18,727.7835255877881
12448,34.169064,-118.370245,19,773.2471789621186
12448,34.170161,-118.370227,20,895.1684801843018
12448,34.17210908333298,-118.37018116071316,21,1111.7010533929924
12448,34.17213805556431,-118.36159199999996,22,1905.0771157147615
12448,34.172124740748195,-118.35790199999995,23,2245.9227974259065
12448,34.1722172469318,-118.35752385152055,24,2282.333573824161
12448,34.172425,-118.35677599999995,25,2355.1682634621566
12448,34.17314083693051,-118.35480104662702,26,2554.1837667879718
12448,34.173486,-118.35362199999996,27,2669.6482959385194
12448,34.17430583751258,-118.35129827116396,28,2902.8233729463605
12448,34.174804,-118.34963700000004,29,3065.9522712865923
12448,34.17490483781186,-118.34944194477464,30,3087.169815642922
12448,34.17534437138583,-118.34818108465578,31,3213.4604909219834
12448,34.17571896205678,-118.34702817790986,32,3327.798314088206
12448,34.176587,-118.344376,33,3591.0794636794085
12448,34.177370825990096,-118.34209801586915,34,3818.8053809291437
12448,34.177768,-118.34081600000002,35,3945.1778152947704
12448,34.17822727843138,-118.33955267130278,36,4072.5396110277766
12448,34.178768,-118.338048,37,4223.952624776483
12448,34.179058,-118.338093,38,4256.448366300405
12448,34.17938745051079,-118.3382592711639,39,4296.151887521666
12448,34.1796851893767,-118.3383746736107,40,4330.91518141763
12448,34.1806344974089,-118.3383827668648,41,4436.418129513834
12448,34.18392918120073,-118.33832162698366,42,4802.612810081091
12448,34.184355,-118.338257,43,4850.310673828123
12448,34.185050346680896,-118.3382891312828,44,4927.644264480053
12448,34.18609690985568,-118.33827072023774,45,5043.965415794366
12448,34.18755915294514,-118.33824930919263,46,5206.48235431697
12448,34.188061,-118.33819699999998,47,5262.463464268743
12448,34.18873952497847,-118.33820321593862,48,5337.872854447742
12448,34.190108250696085,-118.33820103802871,49,5489.984988421446
12448,34.19079831187146,-118.33812330919268,50,5567.009501897937
12448,34.191841032443634,-118.33799944907378,51,5683.454447802247
12448,34.191933867293265,-118.33816593797025,52,5701.970356515292
12448,34.191969,-118.33848,53,5731.235443749428
12448,34.1919361536981,-118.3389414196434,54,5774.00335067449
12448,34.191941716463226,-118.33980489451216,55,5853.747117594005
12448,34.19198733982441,-118.34128227116396,56,5990.275922035969
12448,34.192016,-118.34218099999998,57,6073.3338158555325
12448,34.19201424673073,-118.34339339384844,58,6185.297334048837
12448,34.192052,-118.34436700000003,59,6275.306605050225
12448,34.19207205619349,-118.34454962698362,60,6292.318633772098
12448,34.193192715903734,-118.34453067361068,61,6416.873632622612
12448,34.19517811885847,-118.3444954490738,62,6637.542190972891
12448,34.19563256296435,-118.34450886011888,63,6688.061299236581
12448,34.195688,-118.34482300000002,64,6717.717497613871
12448,34.195692966649034,-118.34762366368484,65,6976.344413773142
12448,34.19569496664857,-118.34865022453688,66,7071.14190339857
12448,34.19569,-118.34897,67,7100.676541812958
12448,34.19509646306401,-118.34901289527858,68,7166.7568723154845
12448,34.193594,-118.349067,69,7333.804704673279
12448,34.193613092855834,-118.34951327116391,70,7375.0709459959535
12448,34.19365,-118.349868,71,7408.084727523545
12448,34.193655,-118.350622,72,7477.716226007523
12448,34.193613,-118.35126000000002,73,7536.817883098662
12448,34.19357,-118.35168899999996,74,7576.721695889474
12448,34.193355,-118.351697,75,7600.626626506912
12448,34.193262,-118.35164600000002,76,7611.984454219339
12448,34.193264,-118.351445,77,7630.547499069024
12448,34.193422,-118.35141,78,7648.401453603334
12448,34.19349,-118.35130200000005,79,7660.914567047289
12448,34.193571,-118.35128600000002,80,7670.03676846504
12448,34.193589,-118.3508,81,7714.961742344342
12448,34.193601,-118.350007,82,7788.204718757246
12448,34.193552,-118.349608,83,7825.4512535365075
12448,34.193492,-118.34904699999998,84,7877.685133403516
12448,34.193434,-118.34896400000002,85,7887.699929284676
12448,34.192813,-118.34896200000004,86,7956.713710975583
12448,34.192052,-118.348978,87,8041.298751768627
12448,34.191123,-118.34900500000003,88,8144.571306199529
12448,34.190579,-118.34905300000004,89,8205.189881011831
12448,34.19031537316714,-118.3490934576721,90,8234.724764526252
12448,34.189931,-118.34914400000002,91,8277.695507995504
12448,34.189601020826615,-118.3491250552254,92,8314.40874427553
12448,34.18884563174235,-118.34912723185306,93,8398.357519851466
12448,34.188549,-118.34918700000004,94,8431.781958059677
12448,34.18771927954121,-118.34913659755324,95,8524.108550075209
12448,34.18639696969732,-118.34916055092624,96,8671.077211569203
12448,34.185591610339976,-118.34918700984986,97,8760.61240121862
12448,34.185012,-118.349244,98,8825.240793985307
12448,34.18389415525813,-118.34919250429914,99,8949.560985127493
12448,34.182722781142566,-118.34921418650816,100,9079.754425938578
12448,34.18164924252156,-118.34925408518724,101,9199.116614746383
12448,34.18127,-118.34932000000003,102,9241.700289261378
12448,34.180763154187595,-118.34928364418032,103,9298.127441131213
12448,34.17921409474957,-118.34930486871718,104,9470.289776455062
12448,34.17726385510653,-118.3493372331352,105,9687.045760996296
12448,34.17587459980221,-118.34936459755323,106,9841.45809002696
12448,34.175275,-118.349442,107,9908.475639010927
12448,34.175029628721894,-118.3494160552254,108,9935.849495776443
12448,34.174425572297054,-118.35122776686478,109,10116.155051272606
12448,34.173547,-118.35397899999998,110,10388.39187087252
12448,34.1729766969783,-118.35554886011886,111,10546.6432373039
12448,34.17259682073727,-118.3566808601189,112,10659.405530103635
12448,34.172347,-118.357569,113,10746.012699881923
12448,34.17224845055366,-118.3579261398811,114,10780.771904454425
12448,34.17215068518801,-118.37035350429916,115,11928.723613981927
12448,34.171649,-118.37036899999998,116,11984.494427610427
12448,34.170074,-118.37037099999998,117,12159.524783801327
12448,34.169371,-118.370382,118,12237.655997841013
12448,34.168862,-118.370387,119,12294.22320613163
12448,34.168574192298394,-118.37040309325408,120,12326.241888506538
12448,34.16823841162565,-118.37048659755328,121,12364.346181155044
12448,34.168209015682606,-118.3741932625656,122,12706.755234124339
