mdb_source_id,data_type,entity_type,location.country_code,location.subdivision_name,location.municipality,provider,name,note,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features
1003,gtfs,,ES,Barcelona,,TRAM,,,,https://opendata.tram.cat/GTFS/zip/TBX.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/es-barcelona-tram-gtfs-1003.zip?alt=media,,41.356672,41.392206,2.053372,2.143175,2022-03-17T19:32:13+00:00,,
1004,gtfs,,ES,Barcelona,,Trambesòs,,,,https://opendata.tram.cat/GTFS/zip/TBS.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/es-barcelona-trambesos-gtfs-1004.zip?alt=media,,41.387614,41.439967,2.186892,2.233219,2022-03-17T19:32:16+00:00,,
1007,gtfs,,ES,Barcelona,,Transports Metropolitans de Barcelona (TMB),,,,https://navitia.opendatasoft.com/explore/dataset/es/files/5dd5c0e92f2050c35ef4b809a92c7849/download/,,,,https://data.example.com/gtfs/es/barcelona_tmb.gtfs.zip,,41.287688,41.499883,2.046171,2.245194,2022-03-17T19:32:37+00:00,,
