mdb_source_id,data_type,entity_type,location.country_code,location.subdivision_name,location.municipality,provider,name,note,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features
280,gtfs,,US,Washington,,Island Transit,,,,https://data.trilliumtransit.com/gtfs/islandtransit-wa-us/islandtransit-wa-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-island-transit-gtfs-280.zip?alt=media,,47.92328048,48.463003,-122.751929,-122.196879,2022-03-15T21:13:24+00:00,,
284,gtfs,,US,Washington,Bellingham,Whatcom Transportation Authority,,,,https://github.com/whatcomtrans/publicwtadata/raw/master/GTFS/wta_gtfs_latest.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-whatcom-transportation-authority-gtfs-284.zip?alt=media,,48.418167,48.998659,-122.763933,-122.13584,2022-03-15T21:13:32+00:00,,
816,gtfs,,US,Washington,Snoqualmie,Snoqualmie Valley Transportation,,,,https://data.trilliumtransit.com/gtfs/snoqualmie-wa-us/snoqualmie-wa-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-snoqualmie-valley-transportation-gtfs-816.zip?alt=media,,47.42696393,47.868098,-122.0094309,-121.7522521,2022-03-17T15:22:13+00:00,,fares-v1
1080,gtfs,,US,Washington,,"Metro Transit, Intercity Transit, City of Seattle, Community Transit, Pierce Transit, Sound Transit, Washington State Ferries, SeattleCenterMonorail, Everett Transit, Seattle Children's Hospital",Puget Sound Consolidated GTFS,,,http://developer.onebusaway.org/tmp/sound/gtfs/modified/gtfs_puget_sound_consolidated.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-metro-transit-gtfs-1080.zip?alt=media,,,,,,2022-03-17T20:41:57+00:00,deprecated,
1540,gtfs-rt,tu,US,Washington,Seattle,King County Metro,,,1080,https://s3.amazonaws.com/kcm-alerts-realtime-prod/tripupdates.pb,0,,,,https://kingcounty.gov/depts/transportation/metro/travel-options/bus/app-center/developer-resources/terms-of-use.aspx,47.189117,47.871063,-122.506622,-121.785835,2022-05-23T17:59:20+00:00,,
1541,gtfs-rt,sa,US,Washington,Seattle,King County Metro,,,1080,https://s3.amazonaws.com/kcm-alerts-realtime-prod/alerts.pb,0,,,,https://kingcounty.gov/depts/transportation/metro/travel-options/bus/app-center/developer-resources/terms-of-use.aspx,47.189117,47.871063,-122.506622,-121.785835,2022-05-23T17:59:20+00:00,,
