area,countryCodes,bbox,openaddressesFiles
LaPaz,BO,-68.436 -16.698 -67.857 -16.297,
LaPlata,BO,-58.20 -35.1 -57.62 -34.72,
Lausanne,CH,6.31 46.35 7.074 46.63,
Leeds,UK,-1.89 53.65 -1.276 53.879,
Leipzig,DE,12.02 50.98 12.92 51.59,
Lima,PE,-77.263 -12.417 -76.556 -11.7,
Linz,AT,13.89 48.10 14.59 48.53,
Lisbon,PT,-9.535 38.384 -8.65 39.004,
Liverpool,UK,-3.208 53.263 -2.442 53.575,
Ljubljana,SI,14.267 45.904 14.771 46.25,
Lodz,PL,19.182 51.598 19.757 51.908,
London,UK,-0.597 51.278 0.423 51.703,
LosAngeles,US,-118.9437484 32.8000296 -117.6447219 34.8225441,
Luebeck,DE,10.20 53.67 11.09 54.21,
Luxemburg,LU,5.594 49.406 6.727 50.21,
Lyon,FR,4.579 45.608 5.156 45.928,
Maastricht,BE,5.434 50.724 5.88 51.03,
Madison,US,-89.578 42.971 -89.215 43.18,
Madrid,ES,-4.07 40.17 -3.23 40.65,
Magdeburg,DE,11.33 51.89 11.94 52.35,
Mainz,DE,7.7 49.72 8.51 50.24,
Malmoe,SE,12.78 55.33 13.72 55.95,
Manchester,UK,-2.523 53.31 -1.79 53.65,
Mannheim,DE,8.10 49.23 8.90 49.75,
Marseille,FR,5.277 43.142 5.72 43.438,
Melbourne,AT,144.68 -38.02 145.30 -37.53,
Memphis,US,-90.361 34.91 -89.653 35.324,
MexicoCity,MX,-99.2708 19.3095 -98.9714 19.5329,
Miami,US,-80.3244 25.6548 -80.0473 25.8567,
Minsk,RU,27.277 53.738 27.934 54.05,
Moenchengladbach,DE,5.75 50.99 6.65 51.48,
Montevideo,PY,-56.49 -34.950 -55.60 -34.50,
Montpellier,FR,3.643 43.377 4.16 43.763,
Montreal,CA,-74.086 45.301 -73.268 45.75,
Moscow,RU,37.322 55.566 37.881 55.916,
Muenchen,DE,11.06 47.80 12.00 48.42,
Muenster,DE,7.35 51.78 7.87 52.18,
NewDelhi,IN,76.978 28.44 77.497 28.738,
NewOrleans,US,-90.538 29.675 -89.501 30.401,
NewYork,US,-74.359 40.479 -73.671 40.96,
Nuernberg,DE,10.52 49.07 11.55 49.62,
Oldenburg,DE,7.81 52.75 8.62 53.53,
Oranienburg,DE,12.70 52.50 14.50 53.48,
Orlando,US,-81.644 28.283 -81.072 28.822,
Oslo,NO,10.397 59.751 11.104 60.038,
Osnabrueck,DE,7.82 52.07 8.32 52.43,
Ostrava,SK,18.066 49.692 18.634 49.956,
Ottawa,CA,-75.95 45.21 -75.40 45.532,
Paderborn,DE,8.40 51.50 9.18 51.89,
Palma,ES,2.266 39.252 3.502 39.985,
PaloAlto,US,-122.5 37.35 -122.0223 37.58,
Paris,FR,1.978 48.673 2.739 49.028,
Perth,AU,115.668 -32.225 116.125 -31.634,
Philadelphia,US,-75.335 39.83 -74.937 40.047,
PhnomPenh,KH,104.8238 11.4895 105.0164 11.6295,
Portland,US,-122.965 45.334 -122.362 45.675,"us/or/portland_metro.csv,us/or/city_of_salem.csv,us/or/marion_and_polk.csv,us/or/marion.csv,us/or/hood_river.csv,us/wa/city_of_richland.csv,us/wa/clark.csv"
PortlandME,US,-70.581 43.434 -70.12 43.853,
Porto,PL,-8.82 40.90 -8.20 41.42,
PortoAlegre,BR,-51.28 -30.141 -51.054 -29.94,
Potsdam,DE,12.50 51.83 13.51 52.54,
Poznan,PL,16.617 52.236 17.257 52.537,
Prag,CZ,14.195 49.906 14.75 50.181,
Providence,US,-71.5273 41.7378 -71.3141 41.9006,
Regensburg,DE,11.80 48.80 12.44 49.25,
Riga,LT,23.787 56.813 24.446 57.091,
RiodeJaneiro,BR,-43.58 -23.08 -42.92 -22.5833,
Rostock,DE,11.55 53.91 12.90 54.49,
Rotterdam,NL,4.183 51.753 4.823 51.984,
Ruegen,DE,12.85 54.03 13.81 54.70,
Saarbruecken,DE,6.593 49.046 7.44 49.54,
Sacramento,US,-121.625 38.374 -121.154 38.738,
Saigon,VN,106.5444 10.6564 106.8545 10.8931,
Salzburg,AT,12.521 47.536 13.696 48.037,
SanFrancisco,US,-122.54 37.54 -122.32 37.93,
SanJose,US,-122.081 37.21 -121.707 37.46,
