Snoqualmie Valley Transportation,816,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-snoqualmie-valley-transportation-gtfs-816.zip?alt=media
"Metro Transit, Intercity Transit, City of Seattle, Community Transit, Pierce Transit, Sound Transit, Washington State Ferries, SeattleCenterMonorail, Everett Transit, Seattle Children's Hospital",1080,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-metro-transit-gtfs-1080.zip?alt=media
Island Transit,280,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-island-transit-gtfs-280.zip?alt=media
Whatcom Transportation Authority,284,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-whatcom-transportation-authority-gtfs-284.zip?alt=media
