mdb_source_id,data_type,entity_type,location.country_code,location.subdivision_name,location.municipality,provider,name,note,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features
268,gtfs,,US,Washington,Seattle,Sound Transit,,,,https://gtfs.sound.obaweb.org/prod/40_gtfs.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-sound-transit-gtfs-268.zip?alt=media,,47.153189,47.974947,-122.499103,-122.197257,2022-03-15T17:45:15+00:00,,
1330,gtfs,,US,Washington,Seattle,King County Metro,,,,https://gtfs.sound.obaweb.org/prod/1_gtfs.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-washington-king-county-metro-gtfs-1330.zip?alt=media,,47.189117,47.871063,-122.506622,-121.785835,2022-05-23T17:59:20+00:00,,fares-v1
1540,gtfs-rt,tu,US,Washington,Seattle,King County Metro,,,1330,https://s3.amazonaws.com/kcm-alerts-realtime-prod/tripupdates.pb,0,,,,https://kingcounty.gov/depts/transportation/metro/travel-options/bus/app-center/developer-resources/terms-of-use.aspx,47.189117,47.871063,-122.506622,-121.785835,2022-05-23T17:59:20+00:00,,
1541,gtfs-rt,sa,US,Washington,Seattle,King County Metro,,,1330,https://s3.amazonaws.com/kcm-alerts-realtime-prod/alerts.pb,0,,,,https://kingcounty.gov/depts/transportation/metro/travel-options/bus/app-center/developer-resources/terms-of-use.aspx,47.189117,47.871063,-122.506622,-121.785835,2022-05-23T17:59:20+00:00,,
